Campaign,Ad_ID,Date,Age_Group,Gender,Interest1,Interest2,Interest3,Impressions,Clicks,Engagement,Total_Spent,CTR(%),CPC,ROI(%)
Campaign C,Ad-10,2025-01-22,25-34,M,4625,1994,1602,8813,323,3057,3305.2,3.67,10.23,180.36
Campaign D,Ad-1,2025-01-22,55+,M,3865,2758,3672,10537,127,3526,4110.23,1.21,32.36,164.86
Campaign D,Ad-2,2025-01-22,45-54,M,1234,3902,4408,13700,870,1455,3636.77,6.35,4.18,112.28
Campaign D,Ad-3,2025-01-22,18-24,M,4731,4318,3688,3929,1188,4909,764.44,30.24,0.64,138.53
Campaign D,Ad-4,2025-01-22,25-34,F,3404,2309,3916,3969,812,2825,4727.79,20.46,5.82,150.73
Campaign D,Ad-5,2025-01-22,18-24,M,1110,3046,4782,7383,152,4557,4087.94,2.06,26.89,113.45
Campaign D,Ad-6,2025-01-22,40-44,F,2584,2492,2565,19779,1437,1944,2958.05,7.27,2.06,123.53
Campaign D,Ad-7,2025-01-22,45-54,M,1087,1723,2686,10497,1500,3549,3099.38,14.29,2.07,93.53
Campaign D,Ad-8,2025-01-22,55+,F,1979,1780,2624,19644,667,3615,4078.1,3.4,6.11,192.07
Campaign D,Ad-9,2025-01-22,35-39,M,1885,3834,1740,4716,845,4797,3381.68,17.92,4.0,128.89
Campaign D,Ad-10,2025-01-22,18-24,F,2949,2686,4648,13791,429,4167,483.79,3.11,1.13,173.67
Campaign E,Ad-1,2025-01-22,35-39,M,2931,1805,4899,12247,1350,1421,3639.28,11.02,2.7,100.42
Campaign E,Ad-2,2025-01-22,25-34,F,3574,3964,2593,4777,974,1360,2230.47,20.39,2.29,109.32
Campaign E,Ad-3,2025-01-22,40-44,F,2905,3469,4467,8285,915,2947,2010.94,11.04,2.2,115.64
Campaign E,Ad-4,2025-01-22,45-54,F,4330,2208,3474,16942,1093,3902,1868.25,6.45,1.71,191.83
Campaign E,Ad-5,2025-01-22,25-34,F,2932,2276,3919,9582,117,4743,2111.33,1.22,18.05,111.09
Campaign E,Ad-6,2025-01-22,40-44,M,4222,3398,1914,8531,1239,1170,4659.04,14.52,3.76,108.44
Campaign E,Ad-7,2025-01-22,18-24,M,4491,4699,3053,3095,450,2394,524.35,14.54,1.17,180.35
Campaign E,Ad-8,2025-01-22,18-24,F,4630,3378,3184,10639,389,3764,4614.41,3.66,11.86,194.0
Campaign E,Ad-9,2025-01-22,40-44,M,3685,3239,1351,18756,1075,4268,3009.47,5.73,2.8,122.26
Campaign E,Ad-10,2025-01-22,55+,M,2819,3524,3825,16714,136,1022,4443.31,0.81,32.67,83.29
Campaign A,Ad-1,2025-01-23,55+,F,2191,4931,4482,14979,308,642,2964.39,2.06,9.62,104.8
Campaign A,Ad-2,2025-01-23,45-54,F,2953,1535,4237,4602,398,4624,2779.71,8.65,6.98,93.58
Campaign A,Ad-3,2025-01-23,35-39,M,4988,3247,1579,5212,263,3136,4377.06,5.05,16.64,184.73
Campaign A,Ad-4,2025-01-23,40-44,F,2520,4150,1428,15596,706,3864,4537.65,4.53,6.43,87.49
Campaign A,Ad-5,2025-01-23,25-34,M,3764,4099,4145,14958,970,4458,1898.79,6.48,1.96,153.3
Campaign A,Ad-6,2025-01-23,45-54,F,2295,3128,1084,7504,543,2270,2224.07,7.24,4.1,104.53
Campaign A,Ad-7,2025-01-23,18-24,F,4193,1336,3106,5581,194,3318,2330.14,3.48,12.01,82.64
Campaign A,Ad-8,2025-01-23,25-34,M,2373,4563,3474,5281,1053,1008,2095.76,19.94,1.99,173.09
Campaign A,Ad-9,2025-01-23,55+,M,1866,1229,3646,19559,853,3886,1186.43,4.36,1.39,160.15
Campaign A,Ad-10,2025-01-23,55+,F,4827,3189,3087,8135,243,1855,2102.53,2.99,8.65,161.89
Campaign B,Ad-1,2025-01-23,25-34,M,1984,2930,3331,5984,534,4305,2836.61,8.92,5.31,162.4
Campaign B,Ad-2,2025-01-23,35-39,F,2327,3555,3227,12096,159,1419,3617.87,1.31,22.75,120.23
Campaign B,Ad-3,2025-01-23,40-44,M,1839,4179,3379,12209,126,2072,1047.44,1.03,8.31,122.25
Campaign B,Ad-4,2025-01-23,40-44,M,4805,3317,2027,14018,679,2545,1362.58,4.84,2.01,92.67
Campaign B,Ad-5,2025-01-23,40-44,M,2513,2554,4140,19366,710,3626,511.19,3.67,0.72,177.46
Campaign B,Ad-6,2025-01-23,18-24,M,4893,2724,2575,16188,744,4760,3573.82,4.6,4.8,149.49
Campaign B,Ad-7,2025-01-23,45-54,F,2889,1167,1574,3117,207,717,3633.16,6.64,17.55,195.91
Campaign B,Ad-8,2025-01-23,25-34,M,3715,1563,1690,12196,212,2409,324.51,1.74,1.53,174.12
Campaign B,Ad-9,2025-01-23,25-34,F,4569,4803,4223,11380,146,2393,1702.56,1.28,11.66,106.13
Campaign B,Ad-10,2025-01-23,25-34,F,1123,3006,1922,4127,904,1801,652.78,21.9,0.72,111.07
Campaign C,Ad-1,2025-01-23,55+,M,4772,2569,3676,19298,538,593,1543.22,2.79,2.87,193.46
Campaign C,Ad-2,2025-01-23,35-39,F,3329,2321,4154,13783,286,2802,1005.26,2.08,3.51,127.38
Campaign C,Ad-3,2025-01-23,55+,F,3112,3753,3714,17608,798,4129,3576.44,4.53,4.48,98.5
Campaign C,Ad-4,2025-01-23,35-39,F,4950,2630,2326,18196,1390,2905,3229.81,7.64,2.32,184.23
Campaign C,Ad-5,2025-01-23,40-44,M,1958,4286,1583,15181,406,2786,1690.62,2.67,4.16,161.3
Campaign C,Ad-6,2025-01-23,55+,F,2983,1778,4354,13056,989,3382,4834.16,7.58,4.89,87.08
Campaign C,Ad-7,2025-01-23,25-34,F,4706,4138,2856,14565,297,1272,2004.25,2.04,6.75,102.37
Campaign C,Ad-8,2025-01-23,45-54,F,4300,2659,4559,11816,1113,2911,4519.1,9.42,4.06,191.04
Campaign C,Ad-9,2025-01-23,40-44,M,1576,3094,4831,16245,1293,2660,1092.31,7.96,0.84,121.84
Campaign C,Ad-10,2025-01-23,25-34,F,3901,3738,4647,4801,727,4781,326.67,15.14,0.45,124.37
Campaign D,Ad-1,2025-01-23,18-24,M,1407,2065,1141,10307,1161,293,3921.46,11.26,3.38,109.41
Campaign D,Ad-2,2025-01-23,18-24,M,3054,3501,1774,10522,746,4456,4295.81,7.09,5.76,128.0
Campaign D,Ad-3,2025-01-23,45-54,M,2096,4346,3784,19424,552,2115,1609.99,2.84,2.92,121.43
Campaign D,Ad-4,2025-01-23,40-44,F,2955,2406,2928,14828,1179,3372,2509.05,7.95,2.13,87.56
Campaign D,Ad-5,2025-01-23,35-39,M,4977,1783,1620,3071,246,1623,4512.92,8.01,18.35,137.92
Campaign D,Ad-6,2025-01-23,25-34,F,2227,2947,1877,15619,1021,1341,3945.62,6.54,3.86,151.88
Campaign D,Ad-7,2025-01-23,25-34,F,1273,1993,4390,5751,402,3624,4978.12,6.99,12.38,147.53
Campaign D,Ad-8,2025-01-23,35-39,M,4254,1542,4443,4307,356,2908,1171.0,8.27,3.29,171.53
Campaign D,Ad-9,2025-01-23,25-34,F,3809,4601,1892,14675,593,903,3515.13,4.04,5.93,173.69
Campaign D,Ad-10,2025-01-23,45-54,M,4844,1183,1590,17218,130,4983,2712.82,0.76,20.87,83.4
Campaign E,Ad-1,2025-01-23,18-24,F,3785,1832,3568,5792,1332,4733,2084.62,23.0,1.57,148.42
Campaign E,Ad-2,2025-01-23,35-39,F,1420,4868,4354,8364,1301,2473,731.62,15.55,0.56,186.26
Campaign E,Ad-3,2025-01-23,35-39,M,1249,2335,1527,10185,1338,4290,4209.08,13.14,3.15,137.31
Campaign E,Ad-4,2025-01-23,25-34,F,4161,1617,4890,9497,696,681,2436.96,7.33,3.5,107.87
Campaign E,Ad-5,2025-01-23,40-44,M,4013,3459,2131,12008,881,3478,4656.27,7.34,5.29,149.0
Campaign E,Ad-6,2025-01-23,40-44,F,3403,2395,2752,18191,913,3248,2700.52,5.02,2.96,139.77
Campaign E,Ad-7,2025-01-23,25-34,F,1320,4353,2090,12748,1364,1889,331.87,10.7,0.24,129.42
Campaign E,Ad-8,2025-01-23,55+,M,2158,4800,4843,14056,144,2186,4568.77,1.02,31.73,80.39
Campaign E,Ad-9,2025-01-23,45-54,F,1114,4114,3416,15469,852,481,2636.4,5.51,3.09,119.58
Campaign E,Ad-10,2025-01-23,35-39,M,3708,4787,3489,7025,658,1039,2274.59,9.37,3.46,183.85
Campaign A,Ad-1,2025-01-24,40-44,M,1763,3359,1227,8403,837,4779,3317.22,9.96,3.96,98.48
Campaign A,Ad-2,2025-01-24,18-24,M,1790,1685,1191,16034,1169,1960,4157.24,7.29,3.56,196.41
Campaign A,Ad-3,2025-01-24,45-54,M,2818,2132,2626,9767,1285,4858,493.54,13.16,0.38,120.45
Campaign A,Ad-4,2025-01-24,55+,M,4806,1685,2258,14680,767,4304,3214.94,5.22,4.19,161.4
Campaign A,Ad-5,2025-01-24,40-44,F,4092,4980,2166,11437,1144,3032,2605.83,10.0,2.28,190.91
Campaign A,Ad-6,2025-01-24,35-39,F,4066,1081,3950,10995,760,3306,3431.58,6.91,4.52,173.85
Campaign A,Ad-7,2025-01-24,55+,M,3739,4818,3261,4650,1311,2239,3700.11,28.19,2.82,170.74
Campaign A,Ad-8,2025-01-24,40-44,M,4419,2610,2484,11936,930,3373,2818.01,7.79,3.03,135.83
Campaign A,Ad-9,2025-01-24,35-39,F,4464,2119,2560,12354,1176,1656,1734.38,9.52,1.47,117.21
Campaign A,Ad-10,2025-01-24,35-39,M,1262,1958,1085,17338,640,3873,1961.44,3.69,3.06,190.14
Campaign B,Ad-1,2025-01-24,55+,M,1016,1031,3890,10344,802,1352,3950.01,7.75,4.93,92.88
Campaign B,Ad-2,2025-01-24,45-54,F,2724,3976,1402,4190,171,3149,2103.88,4.08,12.3,90.54
Campaign B,Ad-3,2025-01-24,40-44,M,4334,4475,3196,8248,1196,4054,3170.66,14.5,2.65,128.99
Campaign B,Ad-4,2025-01-24,55+,F,3486,4367,1208,12378,1326,715,3167.73,10.71,2.39,122.57
Campaign B,Ad-5,2025-01-24,55+,F,2948,4878,1681,18798,335,782,2314.65,1.78,6.91,159.49
Campaign B,Ad-6,2025-01-24,40-44,M,4815,2230,2358,10218,1359,3118,2432.19,13.3,1.79,169.84
Campaign B,Ad-7,2025-01-24,40-44,F,4688,4731,1906,9770,1495,1898,4706.43,15.3,3.15,156.8
Campaign B,Ad-8,2025-01-24,18-24,M,3484,1507,3716,19672,147,502,3644.96,0.75,24.8,142.9
Campaign B,Ad-9,2025-01-24,45-54,M,4762,3275,4879,6902,893,2133,3928.45,12.94,4.4,135.31
Campaign B,Ad-10,2025-01-24,25-34,M,2636,3926,4511,12463,396,4233,4785.93,3.18,12.09,188.5
Campaign C,Ad-1,2025-01-24,40-44,M,4745,4202,1845,8318,469,4925,3298.85,5.64,7.03,175.93
Campaign C,Ad-2,2025-01-24,35-39,F,2799,3779,1343,13843,934,4324,3121.36,6.75,3.34,164.06
Campaign C,Ad-3,2025-01-24,25-34,M,2090,4918,2997,18483,1297,2095,753.83,7.02,0.58,171.86
Campaign C,Ad-4,2025-01-24,25-34,F,1051,4937,1861,10163,540,2759,2721.51,5.31,5.04,153.44
Campaign C,Ad-5,2025-01-24,18-24,M,1071,3229,2649,3724,161,4202,477.84,4.32,2.97,171.08
Campaign C,Ad-6,2025-01-24,35-39,M,4395,4448,3563,3558,1350,4650,3090.46,37.94,2.29,85.59
Campaign C,Ad-7,2025-01-24,35-39,F,2594,2716,3852,10325,444,3567,2911.02,4.3,6.56,131.09
Campaign C,Ad-8,2025-01-24,40-44,F,2421,2121,4078,18111,1327,674,1878.52,7.33,1.42,183.43
Campaign C,Ad-9,2025-01-24,18-24,F,2354,4062,1197,18415,669,4345,1138.64,3.63,1.7,86.82
Campaign C,Ad-10,2025-01-24,55+,M,2090,1108,1955,9215,1340,2601,4006.69,14.54,2.99,175.77
Campaign D,Ad-1,2025-01-24,55+,M,2222,4334,3611,15096,594,4595,2351.14,3.93,3.96,170.54
Campaign D,Ad-2,2025-01-24,18-24,M,3306,2438,4347,5918,433,4633,3950.35,7.32,9.12,106.49
Campaign D,Ad-3,2025-01-24,35-39,M,1824,3091,2054,14486,1065,2790,3805.39,7.35,3.57,84.04
Campaign D,Ad-4,2025-01-24,18-24,F,3532,4435,3554,10211,1173,1660,1309.69,11.49,1.12,167.27
Campaign D,Ad-5,2025-01-24,40-44,F,4832,3659,3708,19465,268,4365,897.85,1.38,3.35,127.38
Campaign D,Ad-6,2025-01-24,45-54,F,3970,2140,2465,11039,629,2338,1956.77,5.7,3.11,133.29
Campaign D,Ad-7,2025-01-24,45-54,M,4653,1490,1680,3703,1486,3979,2321.88,40.13,1.56,138.85
Campaign D,Ad-8,2025-01-24,40-44,F,4157,3869,1104,7053,1229,2972,4096.33,17.43,3.33,86.74
Campaign D,Ad-9,2025-01-24,40-44,M,4669,1593,4597,11710,188,928,1943.89,1.61,10.34,138.49
Campaign D,Ad-10,2025-01-24,18-24,F,3656,3467,4665,4941,237,4750,2063.45,4.8,8.71,122.51
Campaign E,Ad-1,2025-01-24,40-44,M,5000,1566,2660,5545,876,4121,1628.99,15.8,1.86,138.66
Campaign E,Ad-2,2025-01-24,35-39,F,3670,4814,1548,3736,155,3790,3746.5,4.15,24.17,97.94
Campaign E,Ad-3,2025-01-24,55+,F,1311,1693,2941,13059,966,284,2133.5,7.4,2.21,93.58
Campaign E,Ad-4,2025-01-24,40-44,F,4559,4704,1544,6835,218,328,4262.25,3.19,19.55,185.67
Campaign E,Ad-5,2025-01-24,18-24,F,4674,4856,3454,4595,1101,220,798.03,23.96,0.72,104.55
Campaign E,Ad-6,2025-01-24,40-44,F,3968,3454,1149,16083,289,4099,4712.54,1.8,16.31,92.43
Campaign E,Ad-7,2025-01-24,35-39,F,3213,4973,3341,15176,1264,1423,4147.91,8.33,3.28,125.9
Campaign E,Ad-8,2025-01-24,18-24,F,2874,3680,1343,4682,469,3729,2373.23,10.02,5.06,111.84
Campaign E,Ad-9,2025-01-24,55+,F,2087,4142,1873,3803,618,3622,1031.65,16.25,1.67,150.53
Campaign E,Ad-10,2025-01-24,40-44,M,2674,3009,1476,16157,1311,2840,3798.98,8.11,2.9,145.18
Campaign A,Ad-1,2025-01-25,55+,M,2048,4718,1472,4150,345,2200,1047.94,8.31,3.04,193.53
Campaign A,Ad-2,2025-01-25,45-54,M,3895,2460,4147,16096,950,859,4162.24,5.9,4.38,158.97
Campaign A,Ad-3,2025-01-25,55+,M,2837,4671,2273,15133,313,1201,4520.2,2.07,14.44,154.16
Campaign A,Ad-4,2025-01-25,35-39,M,4073,4365,4904,16750,1179,949,2157.83,7.04,1.83,166.31
Campaign A,Ad-5,2025-01-25,45-54,M,4863,3893,1276,4748,927,1287,2647.88,19.52,2.86,171.9
Campaign A,Ad-6,2025-01-25,40-44,F,4603,4317,3439,18221,1104,2158,4554.85,6.06,4.13,109.27
Campaign A,Ad-7,2025-01-25,55+,M,3524,3137,1317,12628,1194,1197,4465.08,9.46,3.74,180.28
Campaign A,Ad-8,2025-01-25,55+,F,1941,4920,2701,7168,874,2227,964.67,12.19,1.1,146.01
Campaign A,Ad-9,2025-01-25,18-24,F,1043,3317,4788,11740,450,3349,4244.93,3.83,9.43,86.19
Campaign A,Ad-10,2025-01-25,55+,M,4407,4202,3562,18765,838,393,2307.79,4.47,2.75,156.7
Campaign B,Ad-1,2025-01-25,45-54,F,3795,1611,2724,5368,327,624,318.97,6.09,0.98,134.84
Campaign B,Ad-2,2025-01-25,35-39,F,4524,2164,4568,9657,484,890,2221.85,5.01,4.59,120.21
Campaign B,Ad-3,2025-01-25,40-44,M,2208,1757,2928,5068,799,4745,1562.33,15.77,1.96,98.54
Campaign B,Ad-4,2025-01-25,35-39,F,3620,4219,4921,11681,142,3849,262.16,1.22,1.85,174.12
Campaign B,Ad-5,2025-01-25,35-39,F,3133,1253,1323,6061,1079,244,2014.99,17.8,1.87,145.8
Campaign B,Ad-6,2025-01-25,18-24,F,1290,2525,3783,16088,1160,3314,2696.48,7.21,2.32,119.35
Campaign B,Ad-7,2025-01-25,40-44,M,3147,2874,4232,10118,942,1710,225.98,9.31,0.24,189.51
Campaign B,Ad-8,2025-01-25,45-54,F,3174,2527,4047,9938,122,1749,3944.85,1.23,32.33,150.47
Campaign B,Ad-9,2025-01-25,45-54,F,2843,1185,4539,17877,1074,2223,3414.57,6.01,3.18,161.71
Campaign B,Ad-10,2025-01-25,25-34,F,3723,2251,1002,11114,1280,1364,3052.02,11.52,2.38,101.96
Campaign C,Ad-1,2025-01-25,55+,M,4016,3683,2755,4929,1294,3816,3068.38,26.25,2.37,185.6
Campaign C,Ad-2,2025-01-25,40-44,F,3123,1018,3857,11805,1291,205,2586.65,10.94,2.0,198.29
Campaign C,Ad-3,2025-01-25,25-34,M,2466,2565,2508,19448,1043,1151,4199.63,5.36,4.03,164.79
Campaign C,Ad-4,2025-01-25,25-34,F,2624,3208,4880,5347,261,3481,4076.04,4.88,15.62,82.93
Campaign C,Ad-5,2025-01-25,18-24,F,2417,4740,2964,13891,570,3100,490.0,4.1,0.86,122.44
Campaign C,Ad-6,2025-01-25,25-34,F,4402,2724,2986,11086,370,3204,3173.04,3.34,8.58,130.41
Campaign C,Ad-7,2025-01-25,45-54,M,3878,1441,2049,6664,1090,2782,4938.22,16.36,4.53,132.01
Campaign C,Ad-8,2025-01-25,55+,F,1833,3985,1736,10699,185,4959,1973.65,1.73,10.67,101.56
Campaign C,Ad-9,2025-01-25,45-54,M,4967,2788,3417,7352,292,923,4790.53,3.97,16.41,131.34
Campaign C,Ad-10,2025-01-25,40-44,F,1444,4391,1062,19245,707,1177,3989.51,3.67,5.64,172.81
Campaign D,Ad-1,2025-01-25,40-44,M,3544,3847,4303,13522,1248,1063,2402.14,9.23,1.92,131.47
Campaign D,Ad-2,2025-01-25,45-54,F,1994,2442,4317,16119,324,3812,3767.14,2.01,11.63,177.54
Campaign D,Ad-3,2025-01-25,35-39,M,1226,1001,3994,17913,596,756,3672.26,3.33,6.16,165.48
Campaign D,Ad-4,2025-01-25,18-24,F,1176,1005,2787,18020,1185,4172,2019.72,6.58,1.7,162.15
Campaign D,Ad-5,2025-01-25,40-44,F,4389,1763,3483,16223,1084,2651,1386.12,6.68,1.28,191.58
Campaign D,Ad-6,2025-01-25,55+,M,4267,1047,4090,17145,1314,3661,3945.72,7.66,3.0,88.72
Campaign D,Ad-7,2025-01-25,18-24,M,2231,4845,3522,13825,754,1577,696.92,5.45,0.92,155.17
Campaign D,Ad-8,2025-01-25,18-24,F,1519,1778,2519,9384,1399,4019,2808.32,14.91,2.01,168.74
Campaign D,Ad-9,2025-01-25,40-44,F,2797,2498,4113,5840,639,2615,877.53,10.94,1.37,86.65
Campaign D,Ad-10,2025-01-25,40-44,F,1391,1826,2262,18010,411,3868,1085.02,2.28,2.64,148.86
Campaign E,Ad-1,2025-01-25,40-44,F,1924,1250,3620,4105,653,3953,4124.73,15.91,6.32,182.19
Campaign E,Ad-2,2025-01-25,40-44,F,3498,2295,1812,10087,852,743,895.05,8.45,1.05,114.48
Campaign E,Ad-3,2025-01-25,40-44,F,4299,1160,4632,16839,473,3313,3356.3,2.81,7.1,166.15
Campaign E,Ad-4,2025-01-25,18-24,M,2606,4416,2205,8855,881,3958,4762.6,9.95,5.41,164.23
Campaign E,Ad-5,2025-01-25,18-24,F,3572,2583,1205,10023,1482,953,4007.34,14.79,2.7,164.97
Campaign E,Ad-6,2025-01-25,40-44,M,1131,2128,4285,5938,759,2802,270.61,12.78,0.36,141.57
Campaign E,Ad-7,2025-01-25,55+,F,1548,4459,4314,7559,314,1603,2440.96,4.15,7.77,160.16
Campaign E,Ad-8,2025-01-25,55+,F,1301,1193,3218,16389,784,3458,3976.81,4.78,5.07,137.55
Campaign E,Ad-9,2025-01-25,25-34,M,1840,4762,4243,4146,539,995,4655.67,13.0,8.64,132.99
Campaign E,Ad-10,2025-01-25,45-54,F,4864,1286,4323,5333,248,4769,3680.01,4.65,14.84,101.86
Campaign A,Ad-1,2025-01-26,45-54,M,3926,2940,3935,5341,1416,3669,4360.95,26.51,3.08,87.5
Campaign A,Ad-2,2025-01-26,18-24,F,2382,3002,4088,9099,1298,1501,4153.55,14.27,3.2,172.16
Campaign A,Ad-3,2025-01-26,40-44,F,4020,1367,2832,8398,769,1638,884.02,9.16,1.15,188.58
Campaign A,Ad-4,2025-01-26,45-54,F,1213,2556,4136,19144,981,3684,4739.32,5.12,4.83,97.74
Campaign A,Ad-5,2025-01-26,25-34,M,1497,3527,3358,12151,1449,1128,2569.63,11.92,1.77,128.19
Campaign A,Ad-6,2025-01-26,40-44,F,3088,3504,4090,17096,349,789,3025.0,2.04,8.67,86.57
Campaign A,Ad-7,2025-01-26,18-24,M,3606,3715,2031,12073,891,1481,3708.83,7.38,4.16,112.98
Campaign A,Ad-8,2025-01-26,18-24,M,2732,1487,4747,6945,758,1713,3821.48,10.91,5.04,125.92
Campaign A,Ad-9,2025-01-26,18-24,M,1208,3636,2286,12672,1353,2321,1209.37,10.68,0.89,106.29
Campaign A,Ad-10,2025-01-26,55+,F,1909,3380,4173,13391,1307,4399,1672.75,9.76,1.28,145.85
Campaign B,Ad-1,2025-01-26,40-44,F,2763,2312,2658,5788,917,2637,777.91,15.84,0.85,170.44
Campaign B,Ad-2,2025-01-26,25-34,F,1409,1322,3270,17682,902,4749,1680.57,5.1,1.86,111.96
Campaign B,Ad-3,2025-01-26,40-44,M,3058,1450,4889,3737,361,750,3563.82,9.66,9.87,89.07
Campaign B,Ad-4,2025-01-26,35-39,F,4560,2341,3616,5534,767,3342,655.84,13.86,0.86,134.8
Campaign B,Ad-5,2025-01-26,40-44,M,1190,3116,3484,14096,529,3240,4309.01,3.75,8.15,136.04
Campaign B,Ad-6,2025-01-26,18-24,F,1819,3423,4361,16264,1391,3169,4819.51,8.55,3.46,144.23
Campaign B,Ad-7,2025-01-26,45-54,F,1157,4773,1911,12031,920,2205,1128.4,7.65,1.23,172.62
Campaign B,Ad-8,2025-01-26,40-44,M,2173,1196,3004,15873,596,2215,1395.5,3.75,2.34,179.26
Campaign B,Ad-9,2025-01-26,25-34,M,2768,1617,1164,16646,1465,994,2201.58,8.8,1.5,167.73
Campaign B,Ad-10,2025-01-26,40-44,F,1676,1777,3759,4897,682,1364,4162.84,13.93,6.1,196.02
Campaign C,Ad-1,2025-01-26,18-24,F,4298,4959,3147,15738,661,2534,1145.86,4.2,1.73,100.63
Campaign C,Ad-2,2025-01-26,18-24,M,4912,2010,4075,16188,1006,4589,4855.62,6.21,4.83,80.63
Campaign C,Ad-3,2025-01-26,40-44,F,2037,3695,2910,6293,425,2524,849.79,6.75,2.0,148.19
Campaign C,Ad-4,2025-01-26,40-44,M,3683,1332,2112,17355,740,2824,569.3,4.26,0.77,87.98
Campaign C,Ad-5,2025-01-26,35-39,M,3532,4876,3695,16720,1010,4419,4668.93,6.04,4.62,152.4
Campaign C,Ad-6,2025-01-26,18-24,M,1828,4865,2398,19178,855,4456,2172.06,4.46,2.54,121.69
Campaign C,Ad-7,2025-01-26,55+,F,4597,4952,1148,16379,1053,238,2845.53,6.43,2.7,143.24
Campaign C,Ad-8,2025-01-26,55+,F,1190,4262,4101,19389,401,3837,2234.55,2.07,5.57,100.14
Campaign C,Ad-9,2025-01-26,55+,M,4161,4169,2082,17198,403,3891,2846.74,2.34,7.06,128.44
Campaign C,Ad-10,2025-01-26,55+,F,1328,1381,1884,17795,1365,3047,2189.87,7.67,1.6,105.49
Campaign D,Ad-1,2025-01-26,25-34,M,1663,3460,4126,15082,1369,2798,3208.71,9.08,2.34,121.31
Campaign D,Ad-2,2025-01-26,35-39,M,2704,1602,4784,17734,208,2854,390.27,1.17,1.88,106.4
Campaign D,Ad-3,2025-01-26,45-54,M,1774,4634,2876,17253,334,4364,1120.28,1.94,3.35,81.34
Campaign D,Ad-4,2025-01-26,18-24,F,3005,3954,2137,10711,1401,4887,4233.58,13.08,3.02,184.0
Campaign D,Ad-5,2025-01-26,35-39,M,2235,2590,2067,10768,326,3305,3615.42,3.03,11.09,168.21
Campaign D,Ad-6,2025-01-26,40-44,M,4498,1397,2776,18887,174,2333,3708.78,0.92,21.31,109.35
Campaign D,Ad-7,2025-01-26,18-24,M,2616,3288,1390,13789,321,1434,4302.66,2.33,13.4,179.57
Campaign D,Ad-8,2025-01-26,40-44,F,1198,1550,3862,7063,1301,3518,3800.0,18.42,2.92,126.9
Campaign D,Ad-9,2025-01-26,40-44,F,1893,1173,3506,10423,707,1376,1142.08,6.78,1.62,161.94
Campaign D,Ad-10,2025-01-26,25-34,M,1161,1610,3139,6874,1200,1966,2394.87,17.46,2.0,173.88
Campaign E,Ad-1,2025-01-26,25-34,M,2665,1845,2968,9278,859,599,3967.02,9.26,4.62,95.4
Campaign E,Ad-2,2025-01-26,35-39,F,3054,3754,4820,16720,1438,3406,2252.31,8.6,1.57,97.68
Campaign E,Ad-3,2025-01-26,55+,M,3080,3480,1345,3096,781,2894,3936.8,25.23,5.04,153.35
Campaign E,Ad-4,2025-01-26,55+,F,2633,1024,2321,7193,870,584,2752.75,12.1,3.16,93.78
Campaign E,Ad-5,2025-01-26,25-34,M,1446,4182,3634,13528,1245,210,2091.61,9.2,1.68,180.97
Campaign E,Ad-6,2025-01-26,35-39,F,4069,1792,2342,5266,1384,2603,2570.88,26.28,1.86,164.2
Campaign E,Ad-7,2025-01-26,45-54,M,4153,3042,4879,4150,253,4143,2668.68,6.1,10.55,152.22
Campaign E,Ad-8,2025-01-26,40-44,F,2817,2541,4968,14120,411,895,1650.33,2.91,4.02,198.45
Campaign E,Ad-9,2025-01-26,25-34,M,3959,1849,4821,10610,1034,3004,1453.22,9.75,1.41,173.98
Campaign E,Ad-10,2025-01-26,25-34,M,2333,2736,3553,8408,575,723,2398.74,6.84,4.17,94.31
Campaign A,Ad-1,2025-01-27,55+,M,1775,2139,1725,10905,1054,2002,1692.94,9.67,1.61,148.92
Campaign A,Ad-2,2025-01-27,25-34,M,4919,2638,4579,18193,1308,4176,3092.25,7.19,2.36,115.66
Campaign A,Ad-3,2025-01-27,25-34,F,2007,3481,4770,16613,1322,806,4028.36,7.96,3.05,108.85
Campaign A,Ad-4,2025-01-27,40-44,M,3045,3613,2658,18860,1265,1539,1183.76,6.71,0.94,107.09
Campaign A,Ad-5,2025-01-27,18-24,M,4480,4454,4187,8552,897,4491,3636.4,10.49,4.05,106.11
Campaign A,Ad-6,2025-01-27,25-34,M,1357,4460,3816,3010,621,1699,3663.55,20.63,5.9,183.19
Campaign A,Ad-7,2025-01-27,18-24,F,4656,4042,1555,6988,679,3184,3861.21,9.72,5.69,103.99
Campaign A,Ad-8,2025-01-27,45-54,M,3925,4156,1303,4087,279,3938,3943.43,6.83,14.13,173.17
Campaign A,Ad-9,2025-01-27,40-44,M,1129,2997,3223,16256,705,4444,3736.18,4.34,5.3,174.99
Campaign A,Ad-10,2025-01-27,35-39,M,1874,3062,2380,9998,1029,702,1225.29,10.29,1.19,156.07
Campaign B,Ad-1,2025-01-27,45-54,F,1601,3022,2878,16235,772,321,4438.06,4.76,5.75,199.23
Campaign B,Ad-2,2025-01-27,25-34,M,1997,4258,1452,17028,588,1894,3794.23,3.45,6.45,139.65
Campaign B,Ad-3,2025-01-27,25-34,F,2352,3919,3304,13624,940,3942,498.54,6.9,0.53,184.35
Campaign B,Ad-4,2025-01-27,55+,M,4039,2606,3386,11307,377,3371,2893.53,3.33,7.68,141.87
Campaign B,Ad-5,2025-01-27,40-44,F,2600,4864,4542,15571,628,954,1576.25,4.03,2.51,185.87
